AAPL (APPLE INC),483.5696,+0.1596,
Oct 04 2013 @ 16:14 ET,Bid,483.55,Ask,483.57,Size,1x11,Vol,8802537,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
13 Oct 370.00 (AAPL71304J370-A),0.0,0.0,111.20,114.75,0,0,13 Oct 370.00 (AAPL71304V370-A),0.0,0.0,0.0,1.72,0,0,
13 Oct 370.00 (AAPL71304J370-B),0.0,0.0,111.20,114.70,0,0,13 Oct 370.00 (AAPL71304V370-B),0.0,0.0,0.0,1.72,0,0,
13 Oct 370.00 (AAPL71304J370-E),0.0,0.0,111.00,114.70,0,0,13 Oct 370.00 (AAPL71304V370-E),0.0,0.0,0.0,1.72,0,0,
13 Oct 370.00 (AAPL71304J370-I),0.0,0.0,110.75,114.75,0,0,13 Oct 370.00 (AAPL71304V370-I),0.0,0.0,0.0,1.72,0,0,
13 Oct 370.00 (AAPL71304J370-J),0.0,0.0,0.0,0.0,0,0,13 Oct 370.00 (AAPL71304V370-J),0.0,0.0,0.0,0.0,0,0,
13 Oct 370.00 (AAPL71304J370-O),0.0,0.0,111.15,114.75,0,0,13 Oct 370.00 (AAPL71304V370-O),0.0,0.0,0.0,4.70,0,0,
13 Oct 370.00 (AAPL71304J370-P),0.0,0.0,0.0,0.0,0,0,13 Oct 370.00 (AAPL71304V370-P),0.0,0.0,0.0,0.0,0,0,
13 Oct 370.00 (AAPL71304J370-S),0.0,0.0,111.15,115.25,0,0,13 Oct 370.00 (AAPL71304V370-S),0.0,0.0,0.0,1.72,0,0,
13 Oct 370.00 (AAPL71304J370-X),0.0,0.0,111.10,114.75,0,0,13 Oct 370.00 (AAPL71304V370-X),0.0,0.0,0.0,1.72,0,0,
13 Oct 370.00 (AAPL71304J370-Y),0.0,0.0,110.75,114.75,0,0,13 Oct 370.00 (AAPL71304V370-Y),0.0,0.0,0.0,1.72,0,0,
13 Oct 375.00 (AAPL1304J375),0.0,0.0,108.05,109.00,0,0,13 Oct 375.00 (AAPL1304V375),0.01,0.0,0.0,0.01,0,7,
13 Oct 375.00 (AAPL1304J375-4),0.0,0.0,106.85,109.95,0,0,13 Oct 375.00 (AAPL1304V375-4),0.0,0.0,0.0,0.07,0,7,
13 Oct 375.00 (AAPL1304J375-8),0.0,0.0,106.85,109.75,0,0,13 Oct 375.00 (AAPL1304V375-8),0.0,0.0,0.0,0.12,0,7,
13 Oct 375.00 (AAPL1304J375-A),0.0,0.0,106.85,109.75,0,0,13 Oct 375.00 (AAPL1304V375-A),0.0,0.0,0.0,0.02,0,7,
13 Oct 375.00 (AAPL1304J375-B),0.0,0.0,106.05,109.85,0,0,13 Oct 375.00 (AAPL1304V375-B),0.0,0.0,0.0,0.02,0,7,
13 Oct 375.00 (AAPL1304J375-E),0.0,0.0,107.85,109.00,0,0,13 Oct 375.00 (AAPL1304V375-E),0.0,0.0,0.0,0.07,0,7,
13 Oct 375.00 (AAPL1304J375-I),0.0,0.0,106.85,109.90,0,0,13 Oct 375.00 (AAPL1304V375-I),0.0,0.0,0.0,0.02,0,7,
13 Oct 375.00 (AAPL1304J375-J),0.0,0.0,106.30,109.85,0,0,13 Oct 375.00 (AAPL1304V375-J),0.0,0.0,0.0,0.28,0,7,
13 Oct 375.00 (AAPL1304J375-O),0.0,0.0,106.85,109.75,0,0,13 Oct 375.00 (AAPL1304V375-O),0.01,0.0,0.0,0.01,0,7,
13 Oct 375.00 (AAPL1304J375-P),0.0,0.0,106.10,109.85,0,0,13 Oct 375.00 (AAPL1304V375-P),0.0,0.0,0.0,0.02,0,7,
13 Oct 375.00 (AAPL1304J375-S),0.0,0.0,106.85,110.05,0,0,13 Oct 375.00 (AAPL1304V375-S),0.0,0.0,0.0,0.07,0,7,
13 Oct 375.00 (AAPL1304J375-X),0.0,0.0,106.85,110.05,0,0,13 Oct 375.00 (AAPL1304V375-X),0.0,0.0,0.0,0.07,0,7,
13 Oct 375.00 (AAPL1304J375-Y),0.0,0.0,108.05,109.00,0,0,13 Oct 375.00 (AAPL1304V375-Y),0.0,0.0,0.0,0.29,0,7,
13 Oct 380.00 (AAPL1304J380),0.0,0.0,103.05,104.00,0,0,13 Oct 380.00 (AAPL1304V380),0.02,0.0,0.0,0.01,20,13,
13 Oct 380.00 (AAPL1304J380-4),0.0,0.0,101.85,105.10,0,0,13 Oct 380.00 (AAPL1304V380-4),0.0,0.0,0.0,0.07,0,13,
13 Oct 380.00 (AAPL1304J380-8),0.0,0.0,101.85,104.85,0,0,13 Oct 380.00 (AAPL1304V380-8),0.02,0.0,0.0,0.06,20,13,
13 Oct 380.00 (AAPL1304J380-A),0.0,0.0,101.85,105.10,0,0,13 Oct 380.00 (AAPL1304V380-A),0.0,0.0,0.0,0.02,0,13,
13 Oct 380.00 (AAPL1304J380-B),0.0,0.0,101.05,104.85,0,0,13 Oct 380.00 (AAPL1304V380-B),0.0,0.0,0.0,0.02,0,13,
13 Oct 380.00 (AAPL1304J380-E),0.0,0.0,102.85,104.00,0,0,13 Oct 380.00 (AAPL1304V380-E),0.0,0.0,0.0,0.06,0,13,
13 Oct 380.00 (AAPL1304J380-I),0.0,0.0,101.85,104.90,0,0,13 Oct 380.00 (AAPL1304V380-I),0.0,0.0,0.0,0.12,0,13,
13 Oct 380.00 (AAPL1304J380-J),0.0,0.0,101.30,104.85,0,0,13 Oct 380.00 (AAPL1304V380-J),0.0,0.0,0.0,0.28,0,13,
13 Oct 380.00 (AAPL1304J380-O),0.0,0.0,101.85,104.75,0,0,13 Oct 380.00 (AAPL1304V380-O),0.02,0.0,0.0,0.12,0,13,
13 Oct 380.00 (AAPL1304J380-P),0.0,0.0,101.10,104.85,0,0,13 Oct 380.00 (AAPL1304V380-P),0.0,0.0,0.0,0.02,0,13,
13 Oct 380.00 (AAPL1304J380-S),0.0,0.0,101.85,105.05,0,0,13 Oct 380.00 (AAPL1304V380-S),0.0,0.0,0.0,0.01,0,13,
13 Oct 380.00 (AAPL1304J380-X),0.0,0.0,101.85,105.05,0,0,13 Oct 380.00 (AAPL1304V380-X),0.0,0.0,0.0,0.06,0,13,
13 Oct 380.00 (AAPL1304J380-Y),0.0,0.0,103.05,104.00,0,0,13 Oct 380.00 (AAPL1304V380-Y),0.0,0.0,0.0,0.29,0,13,
13 Oct 380.00 (AAPL71304J380),0.0,0.0,101.20,105.10,0,0,13 Oct 380.00 (AAPL71304V380),0.0,0.0,0.0,1.72,0,0,
13 Oct 380.00 (AAPL71304J380-4),0.0,0.0,101.15,105.10,0,0,13 Oct 380.00 (AAPL71304V380-4),0.0,0.0,0.0,1.72,0,0,
13 Oct 380.00 (AAPL71304J380-8),0.0,0.0,101.15,105.55,0,0,13 Oct 380.00 (AAPL71304V380-8),0.0,0.0,0.0,1.73,0,0,
13 Oct 380.00 (AAPL71304J380-A),0.0,0.0,101.20,105.10,0,0,13 Oct 380.00 (AAPL71304V380-A),0.0,0.0,0.0,1.72,0,0,
13 Oct 380.00 (AAPL71304J380-B),0.0,0.0,101.20,105.55,0,0,13 Oct 380.00 (AAPL71304V380-B),0.0,0.0,0.0,1.72,0,0,
13 Oct 380.00 (AAPL71304J380-E),0.0,0.0,101.20,105.20,0,0,13 Oct 380.00 (AAPL71304V380-E),0.0,0.0,0.0,1.72,0,0,
13 Oct 380.00 (AAPL71304J380-I),0.0,0.0,101.15,105.10,0,0,13 Oct 380.00 (AAPL71304V380-I),0.0,0.0,0.0,1.72,0,0,
13 Oct 380.00 (AAPL71304J380-J),0.0,0.0,0.0,0.0,0,0,13 Oct 380.00 (AAPL71304V380-J),0.0,0.0,0.0,0.0,0,0,
13 Oct 380.00 (AAPL71304J380-O),0.0,0.0,101.15,105.10,0,0,13 Oct 380.00 (AAPL71304V380-O),0.0,0.0,0.0,1.72,0,0,
13 Oct 380.00 (AAPL71304J380-P),0.0,0.0,0.0,0.0,0,0,13 Oct 380.00 (AAPL71304V380-P),0.0,0.0,0.0,0.0,0,0,
13 Oct 380.00 (AAPL71304J380-S),0.0,0.0,101.15,105.20,0,0,13 Oct 380.00 (AAPL71304V380-S),0.0,0.0,0.0,1.72,0,0,
13 Oct 380.00 (AAPL71304J380-X),0.0,0.0,101.15,105.10,0,0,13 Oct 380.00 (AAPL71304V380-X),0.0,0.0,0.0,1.72,0,0,
13 Oct 380.00 (AAPL71304J380-Y),0.0,0.0,101.15,105.10,0,0,13 Oct 380.00 (AAPL71304V380-Y),0.0,0.0,0.0,1.72,0,0,
13 Oct 385.00 (AAPL1304J385),0.0,0.0,98.05,99.00,0,0,13 Oct 385.00 (AAPL1304V385),0.01,0.0,0.0,0.01,0,20,
13 Oct 385.00 (AAPL1304J385-4),0.0,0.0,96.90,99.35,0,0,13 Oct 385.00 (AAPL1304V385-4),0.0,0.0,0.0,0.15,0,20,
